original,safe_key
ansuvimab,ansuvimab
ansuvimab_other,ansuvimab_other
anthrax_immune_globulin,anthrax_immune_globulin
anthrax_immune_globulin_other,anthrax_immune_globulin_other
bacillus_anthracis_immunoserum_rabbit,bacillus_anthracis_immunoserum_rabbit
bezlotoxumab,bezlotoxumab
bezlotoxumab_other,bezlotoxumab_other
casirivimab,casirivimab
casirivimab_other,casirivimab_other
cytomegalovirus_immune_globulin,cytomegalovirus_immune_globulin
cytomegalovirus_immune_globulin_intravenous,cytomegalovirus_immune_globulin_int_580314
cytomegalovirus_immune_globulin_other,cytomegalovirus_immune_globulin_other
diphtheria_antitoxin,diphtheria_antitoxin
diphtheria_antitoxin_other,diphtheria_antitoxin_other
freeze_dried_peg_treated_human_normal_ig,freeze_dried_peg_treated_human_normal_ig
freeze_dried_peg_treated_human_normal_ig_other,freeze_dried_peg_treated_human_norm_db6fbe
freeze_dried_pepsin_treated_human_normal_immunoglobulin,freeze_dried_pepsin_treated_human_n_ae7471
freeze_dried_pepsin_treated_human_normal_immunoglobulin_other,freeze_dried_pepsin_treated_human_n_b24854
freeze_dried_ph4_treated_human_normal_immunoglobulin,freeze_dried_ph4_treated_human_norm_561d8c
freeze_dried_ph4_treated_human_normal_immunoglobulin_other,freeze_dried_ph4_treated_human_norm_3a7eff
freeze_dried_sulfonated_human_normal_immunoglobulin,freeze_dried_sulfonated_human_norma_54f5d5
freeze_dried_sulfonated_human_normal_immunoglobulin_other,freeze_dried_sulfonated_human_norma_9dbea3
hepatitis_a_immunoglobulin_systemic,hepatitis_a_immunoglobulin_systemic
hepatitis_b_immune_globulin,hepatitis_b_immune_globulin
hepatitis_b_immune_globulin_intramuscular,hepatitis_b_immune_globulin_intramuscular
hepatitis_b_immune_globulin_intravenous,hepatitis_b_immune_globulin_intravenous
hepatitis_b_immune_globulin_other,hepatitis_b_immune_globulin_other
human_vaccinia_immune_globulin,human_vaccinia_immune_globulin
human_vaccinia_immune_globulin_intramuscular,human_vaccinia_immune_globulin_intr_a3f477
human_vaccinia_immune_globulin_other,human_vaccinia_immune_globulin_other
immunoglobulin_a,immunoglobulin_a
immunoglobulin_anti_rubella,immunoglobulin_anti_rubella
immunoglobulin_anti_rubella_other,immunoglobulin_anti_rubella_other
immunoglobulin_anti_tickborne_encephalitis,immunoglobulin_anti_tickborne_encephalitis
immunoglobulin_anti_tickborne_encephalitis_other,immunoglobulin_anti_tickborne_encep_6bfa29
immunoglobulin_g,immunoglobulin_g
immunoglobulin_g_intramuscular,immunoglobulin_g_intramuscular
immunoglobulin_g_intravenous,immunoglobulin_g_intravenous
immunoglobulin_g_other,immunoglobulin_g_other
immunoglobulin_g_subcutaenous,immunoglobulin_g_subcutaenous
immunoglobulin_m_human,immunoglobulin_m_human
immunoglobulin_m_human_other,immunoglobulin_m_human_other
measles_immunoglobulin_systemic,measles_immunoglobulin_systemic
motavizumab,motavizumab
mumps_immunoglobulin_systemic,mumps_immunoglobulin_systemic
nebacumab,nebacumab
nebacumab_other,nebacumab_other
nirsevimab,nirsevimab
nirsevimab_other,nirsevimab_other
obiltoxaximab,obiltoxaximab
obiltoxaximab_other,obiltoxaximab_other
palivizumab,palivizumab
palivizumab_intramuscular,palivizumab_intramuscular
palivizumab_other,palivizumab_other
pertussis_immunoglobulin_systemic,pertussis_immunoglobulin_systemic
ph4_treated_acidic_human_normal_ig_sc_injection,ph4_treated_acidic_human_normal_ig_c85b3d
ph4_treated_acidic_human_normal_immunoglobulin,ph4_treated_acidic_human_normal_imm_9ab19d
ph4_treated_acidic_human_normal_immunoglobulin_other,ph4_treated_acidic_human_normal_imm_77930a
ph4_treated_acidic_human_normal_immunoglobulin_subcutaneous,ph4_treated_acidic_human_normal_imm_01ebde
polyethylene_glycol_treated_human_normal_immunoglobulin,polyethylene_glycol_treated_human_n_78fd9a
polyethylene_glycol_treated_human_normal_immunoglobulin_other,polyethylene_glycol_treated_human_n_ca854a
rabies_immune_globulin_human,rabies_immune_globulin_human
rabies_immune_globulin_human_intramuscular,rabies_immune_globulin_human_intramuscular
rabies_immune_globulin_human_other,rabies_immune_globulin_human_other
rabies_immune_globulin_human_subcutaneous,rabies_immune_globulin_human_subcutaneous
raxibacumab,raxibacumab
raxibacumab_other,raxibacumab_other
regdanvimab,regdanvimab
regdanvimab_other,regdanvimab_other
respiratory_syncytial_virus_immune_globulin,respiratory_syncytial_virus_immune_a5290d
respiratory_syncytial_virus_immune_globulin_intravenous,respiratory_syncytial_virus_immune_08a8b9
rho_d_immune_globulin,rho_d_immune_globulin
rho_d_immune_globulin_intramuscular,rho_d_immune_globulin_intramuscular
rho_d_immune_globulin_other,rho_d_immune_globulin_other
sipavibart,sipavibart
sotrovimab,sotrovimab
sotrovimab_other,sotrovimab_other
staphylococcus_aureus_immunoserum,staphylococcus_aureus_immunoserum
staphylococcus_aureus_immunoserum_other,staphylococcus_aureus_immunoserum_other
staphylococcus_epidermidis_immunoserum_rabbit,staphylococcus_epidermidis_immunose_508aa3
tetanus_immune_globulin,tetanus_immune_globulin
tetanus_immune_globulin_intramuscular,tetanus_immune_globulin_intramuscular
tetanus_immune_globulin_other,tetanus_immune_globulin_other
tixagevimab,tixagevimab
tixagevimab_other,tixagevimab_other
varicella_zoster_immune_globulin,varicella_zoster_immune_globulin
varicella_zoster_immune_globulin_intramuscular,varicella_zoster_immune_globulin_in_f54499
varicella_zoster_immune_globulin_other,varicella_zoster_immune_globulin_other
