original,safe_key
ansuvimab_other,ansuvimab_other
anthrax_immune_globulin_other,anthrax_immune_globulin_other
bezlotoxumab_other,bezlotoxumab_other
casirivimab_other,casirivimab_other
cytomegalovirus_immune_globulin_intravenous,cytomegalovirus_immune_globulin_int_580314
cytomegalovirus_immune_globulin_other,cytomegalovirus_immune_globulin_other
diphtheria_antitoxin_other,diphtheria_antitoxin_other
freeze_dried_peg_treated_human_normal_ig_other,freeze_dried_peg_treated_human_norm_db6fbe
freeze_dried_pepsin_treated_human_normal_immunoglobulin_other,freeze_dried_pepsin_treated_human_n_b24854
freeze_dried_ph4_treated_human_normal_immunoglobulin_other,freeze_dried_ph4_treated_human_norm_3a7eff
freeze_dried_sulfonated_human_normal_immunoglobulin_other,freeze_dried_sulfonated_human_norma_9dbea3
hepatitis_b_immune_globulin_intramuscular,hepatitis_b_immune_globulin_intramuscular
hepatitis_b_immune_globulin_intravenous,hepatitis_b_immune_globulin_intravenous
hepatitis_b_immune_globulin_other,hepatitis_b_immune_globulin_other
human_vaccinia_immune_globulin_intramuscular,human_vaccinia_immune_globulin_intr_a3f477
human_vaccinia_immune_globulin_other,human_vaccinia_immune_globulin_other
immunoglobulin_anti_rubella_other,immunoglobulin_anti_rubella_other
immunoglobulin_anti_tickborne_encephalitis_other,immunoglobulin_anti_tickborne_encep_6bfa29
immunoglobulin_g_intramuscular,immunoglobulin_g_intramuscular
immunoglobulin_g_intravenous,immunoglobulin_g_intravenous
immunoglobulin_g_other,immunoglobulin_g_other
immunoglobulin_g_subcutaenous,immunoglobulin_g_subcutaenous
immunoglobulin_m_human_other,immunoglobulin_m_human_other
nebacumab_other,nebacumab_other
nirsevimab_other,nirsevimab_other
obiltoxaximab_other,obiltoxaximab_other
palivizumab_intramuscular,palivizumab_intramuscular
palivizumab_other,palivizumab_other
peg_treated_human_normal_ig_other,peg_treated_human_normal_ig_other
ph4_treated_acidic_human_normal_immunoglobulin_other,ph4_treated_acidic_human_normal_imm_77930a
ph4_treated_acidic_human_normal_immunoglobulin_subcutaneous,ph4_treated_acidic_human_normal_imm_01ebde
rabies_immune_globulin_human_intramuscular,rabies_immune_globulin_human_intramuscular
rabies_immune_globulin_human_other,rabies_immune_globulin_human_other
rabies_immune_globulin_human_subcutaneous,rabies_immune_globulin_human_subcutaneous
raxibacumab_other,raxibacumab_other
regdanvimab_other,regdanvimab_other
respiratory_syncytial_virus_immune_globulin_intravenous,respiratory_syncytial_virus_immune_08a8b9
rho_d_immune_globulin_intramuscular,rho_d_immune_globulin_intramuscular
rho_d_immune_globulin_other,rho_d_immune_globulin_other
sotrovimab_other,sotrovimab_other
staphylococcus_aureus_immunoserum_other,staphylococcus_aureus_immunoserum_other
tetanus_immune_globulin_intramuscular,tetanus_immune_globulin_intramuscular
tetanus_immune_globulin_other,tetanus_immune_globulin_other
tixagevimab_other,tixagevimab_other
varicella_zoster_immune_globulin_intramuscular,varicella_zoster_immune_globulin_in_f54499
varicella_zoster_immune_globulin_other,varicella_zoster_immune_globulin_other
