current_name,mapped_name
number records,number records
number subjects,number subjects
cohort_name,cohort_name
i_primary_immunodeficiency_syndrome_indications,primary_immunodeficiency_syndrome_indications
i_secondary_immunodeficiencies_indications,secondary_immunodeficiencies_indications
i_transplantation_indications,transplantation_indications
g_internal_medicine_indications,internal_medicine_indications
g_neurology_indications,neurology_indications
g_other_indications,other_indications
g_hepatology_indications,hepatology_indications
g_infectious_diseases_indications,infectious_diseases_indications
g_haematology_indications,haematology_indications
iid_other_indications_only_epilepsy,other_indications_only_epilepsy
iid_other_indications_only_oncology,other_indications_only_oncology
iid_other_indications_only_covid,other_indications_only_covid
iid_other_indications_only_sjogren_s_syndrome,other_indications_only_sjogren_s_syndrome
iid_other_indications_only_autoimmune_or_paraneop,other_indications_only_autoimmune_or_paraneoplastic_encephalitis
iid_other_indications_only_alzheimer,other_indications_only_alzheimer
iid_other_indications_only_progressive_systemic_s,other_indications_only_progressive_systemic_sclerosis
