safe_key,original
ansuvimab_missing_ro_a,ansuvimab_missing_ro_a
anthrax_immune_globulin_missing_ro_a,anthrax_immune_globulin_missing_ro_a
bacillus_anthracis_immunoserum_rabbit,bacillus_anthracis_immunoserum_rabbit
bezlotoxumab_missing_ro_a,bezlotoxumab_missing_ro_a
casirivimab_missing_ro_a,casirivimab_missing_ro_a
cytomegalovirus_immune_globulin_missing_ro_a,cytomegalovirus_immune_globulin_missing_ro_a
diphtheria_antitoxin_missing_ro_a,diphtheria_antitoxin_missing_ro_a
freeze_dried_pepsin_treated_human_normal_immu,freeze_dried_pepsin_treated_human_normal_immunoglobulin_missing_ro_a
freeze_dried_ph4_treated_human_normal_immunog,freeze_dried_ph4_treated_human_normal_immunoglobulin_missing_ro_a
freeze_dried_polyethylene_glycol_treated_huma,freeze_dried_polyethylene_glycol_treated_human_normal_immunoglobulin_missing_ro_a
freeze_dried_sulfonated_human_normal_immunogl,freeze_dried_sulfonated_human_normal_immunoglobulin_missing_ro_a
hepatitis_a_immunoglobulin_systemic,hepatitis_a_immunoglobulin_systemic
hepatitis_b_immune_globulin_missing_ro_a,hepatitis_b_immune_globulin_missing_ro_a
human_vaccinia_immune_globulin_missing_ro_a,human_vaccinia_immune_globulin_missing_ro_a
immunoglobulin_a,immunoglobulin_a
immunoglobulin_anti_rubella_missing_ro_a,immunoglobulin_anti_rubella_missing_ro_a
immunoglobulin_anti_tickborne_encephalitis_mi,immunoglobulin_anti_tickborne_encephalitis_missing_ro_a
immunoglobulin_g_missing_ro_a,immunoglobulin_g_missing_ro_a
immunoglobulin_m_human_missing_ro_a,immunoglobulin_m_human_missing_ro_a
measles_immunoglobulin_systemic,measles_immunoglobulin_systemic
motavizumab,motavizumab
mumps_immunoglobulin_systemic,mumps_immunoglobulin_systemic
nebacumab_missing_ro_a,nebacumab_missing_ro_a
nirsevimab_missing_ro_a,nirsevimab_missing_ro_a
obiltoxaximab_missing_ro_a,obiltoxaximab_missing_ro_a
palivizumab_missing_ro_a,palivizumab_missing_ro_a
pertussis_immunoglobulin_systemic,pertussis_immunoglobulin_systemic
ph4_treated_acidic_human_normal_immunoglobuli,ph4_treated_acidic_human_normal_immunoglobulin_missing_ro_a
polyethylene_glycol_treated_human_normal_immu,polyethylene_glycol_treated_human_normal_immunoglobulin_missing_ro_a
rabies_immune_globulin_human_missing_ro_a,rabies_immune_globulin_human_missing_ro_a
raxibacumab_missing_ro_a,raxibacumab_missing_ro_a
regdanvimab_missing_ro_a,regdanvimab_missing_ro_a
rho_d_immune_globulin_missing_ro_a,rho_d_immune_globulin_missing_ro_a
sipavibart,sipavibart
sotrovimab_missing_ro_a,sotrovimab_missing_ro_a
staphylococcus_aureus_immunoserum_missing_ro_,staphylococcus_aureus_immunoserum_missing_ro_a
staphylococcus_epidermidis_immunoserum_rabbit,staphylococcus_epidermidis_immunoserum_rabbit
tetanus_immune_globulin_missing_ro_a,tetanus_immune_globulin_missing_ro_a
tixagevimab_missing_ro_a,tixagevimab_missing_ro_a
varicella_zoster_immune_globulin_missing_ro_a,varicella_zoster_immune_globulin_missing_ro_a
