"original","safe_key"
"ansuvimab_missing","ansuvimab_missing_ro_a"
"anthrax_immune_globulin_missing","anthrax_immune_globulin_missing_ro_a"
"bacillus_anthracis_immunoserum_rabbit_missing","bacillus_anthracis_immunoserum_rabbit"
"bezlotoxumab_missing","bezlotoxumab_missing_ro_a"
"casirivimab_missing","casirivimab_missing_ro_a"
"cytomegalovirus_immune_globulin_missing","cytomegalovirus_immune_globulin_missing_ro_a"
"diphtheria_antitoxin_missing","diphtheria_antitoxin_missing_ro_a"
"freeze_dried_pepsin_treated_human_normal_immunoglobulin_missing","freeze_dried_pepsin_treated_human_normal_immu"
"freeze_dried_ph4_treated_human_normal_immunoglobulin_missing","freeze_dried_ph4_treated_human_normal_immunog"
"freeze_dried_polyethylene_glycol_treated_human_normal_immunoglobulin_missing","freeze_dried_polyethylene_glycol_treated_huma"
"freeze_dried_sulfonated_human_normal_immunoglobulin_missing","freeze_dried_sulfonated_human_normal_immunogl"
"hepatitis_a_immunoglobulin_systemic_missing","hepatitis_a_immunoglobulin_systemic"
"hepatitis_b_immune_globulin_missing","hepatitis_b_immune_globulin_missing_ro_a"
"human_vaccinia_immune_globulin_missing","human_vaccinia_immune_globulin_missing_ro_a"
"immunoglobulin_a_missing","immunoglobulin_a"
"immunoglobulin_anti_rubella_missing","immunoglobulin_anti_rubella_missing_ro_a"
"immunoglobulin_anti_tickborne_encephalitis_missing","immunoglobulin_anti_tickborne_encephalitis_mi"
"immunoglobulin_g_missing","immunoglobulin_g_missing_ro_a"
"immunoglobulin_m_human_missing","immunoglobulin_m_human_missing_ro_a"
"measles_immunoglobulin_systemic_missing","measles_immunoglobulin_systemic"
"motavizumab_missing","motavizumab"
"mumps_immunoglobulin_systemic_missing","mumps_immunoglobulin_systemic"
"nebacumab_missing","nebacumab_missing_ro_a"
"nirsevimab_missing","nirsevimab_missing_ro_a"
"obiltoxaximab_missing","obiltoxaximab_missing_ro_a"
"palivizumab_missing","palivizumab_missing_ro_a"
"pertussis_immunoglobulin_systemic_missing","pertussis_immunoglobulin_systemic"
"ph4_treated_acidic_human_normal_immunoglobulin_missing","ph4_treated_acidic_human_normal_immunoglobuli"
"polyethylene_glycol_treated_human_normal_immunoglobulin_missing","polyethylene_glycol_treated_human_normal_immu"
"rabies_immune_globulin_human_missing","rabies_immune_globulin_human_missing_ro_a"
"raxibacumab_missing","raxibacumab_missing_ro_a"
"regdanvimab_missing","regdanvimab_missing_ro_a"
"rho_d_immune_globulin_missing","rho_d_immune_globulin_missing_ro_a"
"sipavibart_missing","sipavibart"
"sotrovimab_missing","sotrovimab_missing_ro_a"
"staphylococcus_aureus_immunoserum_missing","staphylococcus_aureus_immunoserum_missing_ro"
"staphylococcus_epidermidis_immunoserum_rabbit_missing","staphylococcus_epidermidis_immunoserum_rabbit"
"tetanus_immune_globulin_missing","tetanus_immune_globulin_missing_ro_a"
"tixagevimab_missing","tixagevimab_missing_ro_a"
"varicella_zoster_immune_globulin_missing","varicella_zoster_immune_globulin_missing_ro_a"
