cohort_definition_id,cohort_name,limit,prior_observation,future_observation,end,age_range
1,beriglobin_immunoglobulins,first,0,0,observation_period_end_date,1_120
2,clairyg_immunoglobulins,first,0,0,observation_period_end_date,1_120
3,cutaquig_immunoglobulins,first,0,0,observation_period_end_date,1_120
4,cuvitru_immunoglobulins,first,0,0,observation_period_end_date,1_120
5,flebogamma_immunoglobulin,first,0,0,observation_period_end_date,1_120
6,gammagard_immunoglobulins,first,0,0,observation_period_end_date,1_120
7,gammaplex_immunoglobulins,first,0,0,observation_period_end_date,1_120
8,gamunex_immunoglobulins,first,0,0,observation_period_end_date,1_120
9,hizentra_immunoglobulins,first,0,0,observation_period_end_date,1_120
10,hyqvia_immunoglobulins,first,0,0,observation_period_end_date,1_120
11,ig_vena_immunoglobulins,first,0,0,observation_period_end_date,1_120
12,intratect_immunoglobulins,first,0,0,observation_period_end_date,1_120
13,iqymune_immunoglobulins,first,0,0,observation_period_end_date,1_120
14,kiovig_immunoglobulins,first,0,0,observation_period_end_date,1_120
15,nanogam_immunoglobulins,first,0,0,observation_period_end_date,1_120
16,octagam_immunoglobulins_and,first,0,0,observation_period_end_date,1_120
17,panzyga_immunoglobulins,first,0,0,observation_period_end_date,1_120
18,pentaglobin_immunoglobulins,first,0,0,observation_period_end_date,1_120
19,privigen_immunoglobulins,first,0,0,observation_period_end_date,1_120
20,rhesonativ_immunoglobulins,first,0,0,observation_period_end_date,1_120
21,rhophylac_immunoglobulins,first,0,0,observation_period_end_date,1_120
22,tegeline_immunoglobulins,first,0,0,observation_period_end_date,1_120
23,xembify_immunoglobulins,first,0,0,observation_period_end_date,1_120
24,yimmugo_immunoglobulins,first,0,0,observation_period_end_date,1_120
