cohort_definition_id,cohort_name,gap_era,prior_use_washout,prior_drug_observation,limit
1,beriglobin_immunoglobulins,30,180,180,first_entry
2,clairyg_immunoglobulins,30,180,180,first_entry
3,cutaquig_immunoglobulins,30,180,180,first_entry
4,cuvitru_immunoglobulins,30,180,180,first_entry
5,flebogamma_immunoglobulin,30,180,180,first_entry
6,gammagard_immunoglobulins,30,180,180,first_entry
7,gammaplex_immunoglobulins,30,180,180,first_entry
8,gamunex_immunoglobulins,30,180,180,first_entry
9,hizentra_immunoglobulins,30,180,180,first_entry
10,hyqvia_immunoglobulins,30,180,180,first_entry
11,ig_vena_immunoglobulins,30,180,180,first_entry
12,intratect_immunoglobulins,30,180,180,first_entry
13,iqymune_immunoglobulins,30,180,180,first_entry
14,kiovig_immunoglobulins,30,180,180,first_entry
15,nanogam_immunoglobulins,30,180,180,first_entry
16,octagam_immunoglobulins_and,30,180,180,first_entry
17,panzyga_immunoglobulins,30,180,180,first_entry
18,pentaglobin_immunoglobulins,30,180,180,first_entry
19,privigen_immunoglobulins,30,180,180,first_entry
20,rhesonativ_immunoglobulins,30,180,180,first_entry
21,rhophylac_immunoglobulins,30,180,180,first_entry
22,tegeline_immunoglobulins,30,180,180,first_entry
23,xembify_immunoglobulins,30,180,180,first_entry
24,yimmugo_immunoglobulins,30,180,180,first_entry
